국명,과명,과국명,학명
가거개별꽃,Caryophyllaceae,석죽과,Pseudostellaria palibiniana (Takeda) Ohwi var. gageodoensis M.Kim & H.Jo
가거꼬리고사리,Aspleniaceae,꼬리고사리과,Asplenium yoshinagae Makino
가거애기닥나무,Moraceae,뽕나무과,Broussonetia × kazinoki Siebold ex Siebold & Zucc. f. koreana M.Kim
가거양지꽃,Rosaceae,장미과,Potentilla gageodoensis M.Kim
가거줄사초,Cyperaceae,사초과,Carex brunnea Thunb.
가는가래,Potamogetonaceae,가래과,Potamogeton cristatus Regel & Maack
가는갈퀴,Fabaceae,콩과,Vicia angustifolia L. var. minor (Bertol.) Ohwi
가는개밀,Poaceae,벼과,Elymus ciliaris (Trin. ex Bunge) Tzvelev var. hackelianus (Honda) G.Zhu & S.L.Chen
가는개수염,Eriocaulaceae,곡정초과,Eriocaulon tenuissimum Nakai
가는개여뀌,Polygonaceae,마디풀과,Persicaria trigonocarpa (Makino) Nakai
가는갯는쟁이,Chenopodiaceae,명아주과,Atriplex gmelinii C.A.Mey. ex Bong.
가는고추나물,Clusiaceae,물레나물과,Hypericum pulchrum L.
가는골무꽃,Lamiaceae,꿀풀과,Scutellaria regeliana Nakai
가는괴불주머니,Papaveraceae,양귀비과,Corydalis raddeana Regel
가는금강아지풀,Poaceae,벼과,Setaria pumila (Poir.) Roem. & Schult. subsp. pallide-fusca (Schumach.) B.K.Simon
가는금불초,Asteraceae,국화과,Inula linariifolia Turcz.
가는기름나물,Apiaceae,산형과,Kitagawia komarovii Pimenov
가는기린초,Crassulaceae,돌나물과,Phedimus aizoon (L.) 't Hart
가는끈끈이장구채,Caryophyllaceae,석죽과,Silene antirrhina L.
가는나래새,Poaceae,벼과,Achnatherum sibiricum (L.) Keng ex Tzvelev
가는네잎갈퀴,Rubiaceae,꼭두서니과,Galium trifidum L.
가는다리장구채,Caryophyllaceae,석죽과,Silene jeniseensis Willd.
가는대나물,Caryophyllaceae,석죽과,Gypsophila pacifica Kom.
가는돌쩌귀,Ranunculaceae,미나리아재비과,Aconitum villosum Rchb.
가는돌피,Poaceae,벼과,Echinochloa crus-galli (L.) P.Beauv. var. austrojaponensis Ohwi
가는동자꽃,Caryophyllaceae,석죽과,Lychnis kiusiana Makino
가는등갈퀴,Fabaceae,콩과,Vicia tenuifolia Roth
가는마디꽃,Lythraceae,부처꽃과,Rotala mexicana Cham. & Schltdl.
가는명아주,Chenopodiaceae,명아주과,Chenopodium album L. var. stenophyllum Makino
가는물꼬챙이골,Cyperaceae,사초과,Eleocharis parvinux Ohwi
가는물달개비,Pontederiaceae,물옥잠과,Monochoria vaginalis (Burm.f.) C.Presl var. angustifolia G.X.Wang
가는물부추,Isoetaceae,물부추과,Isoetes sinensis Palmer
가는미국외풀,Scrophulariaceae,현삼과,Lindernia dubia (L.) Pennell var. anagallidea (Michx.) Cooperr.
가는민바늘꽃,Onagraceae,바늘꽃과,Epilobium platystigmatosum C.B.Rob.
가는밀사초,Cyperaceae,사초과,Carex toyoshimae Tuyama
가는바디,Apiaceae,산형과,Ostericum maximowiczii (F.Schmidt) Kitag.
가는범꼬리,Polygonaceae,마디풀과,Bistorta alopecuroides (Turcz. ex Kom.) Nakai
가는비늘사초,Cyperaceae,사초과,Carex suifunensis Kom.
가는사초,Cyperaceae,사초과,Carex disperma Dewey
가는산부추,Liliaceae,백합과,Allium splendens Willd. ex Schult. & Schult.f.
가는살갈퀴,Fabaceae,콩과,Vicia sativa L. subsp. nigra Ehrh.
가는쇠고사리,Dryopteridaceae,관중과,Arachniodes exilis (Hance) Ching
가는수크령,Poaceae,벼과,Pennisetum flaccidum Griseb.
가는쑥부쟁이,Asteraceae,국화과,Aster pekinensis (Hance) F.H.Chen
가는쑥부지깽이,Brassicaceae,배추과,Erysimum macilentum Bunge
가는여뀌,Polygonaceae,마디풀과,Persicaria hydropiper (L.) Delarbre f. angustissima (Makino) Araki
가는오이풀,Rosaceae,장미과,Sanguisorba × tenuifolia Fisch. ex Link
가는잎가시상추,Asteraceae,국화과,Lactuca saligna L.
가는잎가자니아,Asteraceae,국화과,Gazania linearis (Thunb.) Druce
가는잎개고사리,Athyriaceae,개고사리과,Athyrium iseanum Rosenst.
가는잎개별꽃,Caryophyllaceae,석죽과,Pseudostellaria sylvatica (Maxim.) Pax
가는잎그늘사초,Cyperaceae,사초과,Carex humilis Leyss. var. nana (H.Lév. & Vaniot) Ohwi
가는잎금방망이,Asteraceae,국화과,Senecio inaequidens DC.
가는잎금털고사리,Hypodematiaceae,금털고사리과,Hypodematium angustifolium C.S.Lee & K.H.Lee
가는잎나래새,Poaceae,벼과,Stipa tenuissima Trin.
가는잎매자나무,Berberidaceae,매자나무과,Berberis koreana Palib. var. angustifolia Nakai
가는잎모새달,Poaceae,벼과,Phacelurus latifolius (Steud.) Ohwi var. angustifolius (Debeaux) Kitag.
가는잎물억새,Poaceae,벼과,Miscanthus sacchariflorus (Maxim.) Benth. & Hool.f. ex Franch. var. gracilis Y.N.Lee
가는잎미선콩,Fabaceae,콩과,Lupinus angustifolius L.
가는잎바꽃,Ranunculaceae,미나리아재비과,Aconitum macrorhynchum Turcz. ex Ledeb.
가는잎바위솔,Crassulaceae,돌나물과,Orostachys linearifolia R. Kunok & Pak
